feat_name,omics,imp
ENSG00000242349.1,0,647.0162821151634
ENSG00000168743.8,0,619.8529669891707
ENSG00000121966.6,0,532.9743462342681
ENSG00000105643.3,0,524.3200211474416
ENSG00000204219.5,0,514.2240124296586
cg08418111,1,462.47956397479226
ENSG00000155980.6,0,435.49933288299206
ENSG00000117266.11,0,419.5248686651333
ENSG00000198624.8,0,400.52585981073577
cg25736482,1,397.865080053959
ENSG00000249436.1,0,390.2973951975016
ENSG00000053702.10,0,369.26919815236045
ENSG00000260328.1,0,367.1651848333664
ENSG00000235501.1,0,361.81784583953345
cg17385448,1,356.3579943479493
cg22518733,1,349.3510884976853
cg04428453,1,337.86571016690857
ENSG00000185499.11,0,323.24651001452526
ENSG00000151552.7,0,318.0783717290052
ENSG00000020577.9,0,315.1359630751295
ENSG00000166508.13,0,307.7337377257203
ENSG00000177025.2,0,299.92656775450007
ENSG00000236609.3,0,292.410574045096
hsa-miR-33a,2,291.8243327864239
ENSG00000142765.12,0,291.49047311459594
cg05050341,1,288.3870497046689
cg21643191,1,286.10119245128976
ENSG00000233123.1,0,282.5537002607066
ENSG00000084453.12,0,282.1706158368395
cg27091787,1,277.8712106962071
ENSG00000134294.9,0,269.6482108522549
ENSG00000157978.6,0,260.72317453591427
ENSG00000248714.2,0,260.42147623421596
cg14847483,1,259.34062134613214
cg17237063,1,257.95844443685803
cg00398048,1,254.80892089123267
ENSG00000099194.4,0,252.5896898353667
ENSG00000254211.1,0,252.55477259042254
ENSG00000071054.10,0,251.41288843068884
cg12845808,1,235.28683515554007
cg07232688,1,230.98963376605965
cg08409225,1,229.14300452437175
ENSG00000117115.8,0,225.02961078533627
hcmv-miR-UL70-3p,2,223.54648878632304
ENSG00000182310.7,0,220.40880996366351
ENSG00000227544.2,0,217.29208331603454
cg26984805,1,216.23488504762477
cg22398616,1,214.34634342423468
ENSG00000111181.8,0,210.72235260245034
cg12447832,1,201.68225278181424
hsa-miR-517c_hsa-miR-519a,2,193.62899456481753
cg18059933,1,189.60601028618635
ENSG00000165912.11,0,187.32423222028032
hsa-miR-133a,2,184.59346059484875
ENSG00000135414.5,0,182.66629594140127
ENSG00000042062.7,0,173.16751611338276
cg14387505,1,171.17929526676244
ENSG00000090554.6,0,169.62069990298426
ENSG00000171388.9,0,169.342253651645
ENSG00000102032.8,0,168.1653412985002
ENSG00000125637.10,0,166.78329302593932
cg24765079,1,165.7425151506638
ENSG00000119729.6,0,164.77059533525323
hsa-miR-93,2,163.555117512158
ENSG00000227392.1,0,163.429243635426
cg11761535,1,163.25358571848886
ENSG00000233404.2,0,161.88028412782919
hsa-miR-34a,2,160.44308956429416
ENSG00000108784.5,0,160.0358589341523
cg12864235,1,152.92764032991343
ENSG00000166257.4,0,152.17592922579198
cg02008416,1,148.25718139451976
cg16003238,1,148.23097622223895
ENSG00000165821.7,0,148.02763974735618
cg03762535,1,144.43851414950458
hsv1-miR-H1,2,141.29682850880022
ENSG00000065809.8,0,141.24129457796613
cg03870261,1,141.2362622753737
ENSG00000134802.12,0,139.05432607076926
ENSG00000112851.10,0,137.95834606513142
ENSG00000105419.11,0,135.38057456147698
cg13468685,1,134.51579468726317
ENSG00000118515.7,0,132.24197393695175
ENSG00000171476.16,0,131.56597371204677
cg24192663,1,129.22627354921465
cg08367223,1,128.91307821867233
ENSG00000139352.3,0,128.27781033221984
cg08952029,1,128.23568762119362
hsa-miR-640,2,127.94782842292466
ENSG00000187984.7,0,127.4565840275695
hsa-miR-548b-3p,2,126.62067288934111
cg19485804,1,126.58177490571146
cg05232889,1,125.92455499386543
cg04126866,1,124.19939182878458
hsa-miR-651,2,123.67231945562322
ENSG00000116786.7,0,122.8735409570241
hsa-miR-34c-5p,2,122.7032136948996
hsa-miR-423-3p,2,122.24214593027507
ENSG00000140479.12,0,122.12120793673796
cg27016307,1,121.24830112815887
