feat_name,omics,imp
hsa-miR-423-3p,2,219.74673659179447
hsa-miR-33a,2,208.0888355258163
hsa-miR-640,2,201.36182165020807
hsa-miR-362-3p,2,197.81094993638325
hsa-miR-491-5p,2,180.72139584047687
ENSG00000168743.8,0,171.8618851929872
cg25736482,1,164.53687922750893
ENSG00000117266.11,0,161.34806003480978
cg00398048,1,157.6709952392956
hsa-miR-206,2,151.8091754076156
ENSG00000155980.6,0,148.0748313844407
hsa-miR-548b-3p,2,147.65508848508392
hsa-miR-127-3p,2,145.24375179610493
hsa-miR-106a_hsa-miR-17,2,143.1279787024694
cg27091787,1,142.27174421727588
ENSG00000182310.7,0,139.62424962239814
hsa-miR-424,2,139.5432687043175
hsa-miR-577,2,139.00390183095882
hsa-miR-873,2,138.87660248251575
cg22518733,1,137.5380303628488
ENSG00000204219.5,0,134.6941786050989
ENSG00000142765.12,0,133.10823170209193
hsa-miR-651,2,131.91470206486642
hsa-miR-199b-5p,2,129.35897878488532
hsa-miR-192,2,124.63150012429638
cg12447832,1,124.09573928847475
hsa-miR-199a-5p,2,121.88246952477915
ENSG00000105643.3,0,121.82713864434955
hsv1-miR-H1,2,121.4542380052782
ENSG00000171388.9,0,120.37506012113244
ENSG00000020577.9,0,119.27554693048153
hsa-miR-340,2,118.94224575945664
hsa-miR-31,2,114.95466973605417
cg17385448,1,114.8612750750704
ENSG00000260328.1,0,114.74669455019277
hsa-miR-517c_hsa-miR-519a,2,112.78138275144136
hsa-miR-133a,2,109.06472428440486
hsa-miR-548a-5p,2,108.48153959413669
hsa-miR-934,2,107.64192628598971
hsa-miR-99b,2,105.99001000647654
hsa-miR-379,2,105.55771508499353
hsa-miR-224,2,105.07481626827914
hsa-miR-216a,2,105.04974657152934
hsa-miR-125a-5p,2,105.0470202372103
ENSG00000053702.10,0,104.80201143834901
ENSG00000099194.4,0,104.28647643811192
hsa-miR-1248,2,104.12848425532898
hsa-miR-149,2,104.03105337067721
ENSG00000254211.1,0,103.1089439284795
cg06946880,1,100.1427576795608
ENSG00000235501.1,0,99.75397746944228
ENSG00000065809.8,0,98.91715729246778
hsa-miR-152,2,97.73360765426685
hsa-miR-29a,2,95.55082008612712
cg01869233,1,93.98758072497762
cg08418111,1,93.78612758734523
hsa-miR-99a,2,92.71561177044146
ENSG00000170759.10,0,91.35127177607052
hsa-miR-93,2,89.45520140284707
hsa-miR-25,2,88.47714385105576
hsa-miR-132,2,87.91676802461872
cg14387505,1,87.01383066496835
hsa-miR-744,2,86.50670447510802
ENSG00000242349.1,0,85.36283843442772
cg02008416,1,85.09789796392133
hsa-miR-320a,2,81.71746981842122
ENSG00000102032.8,0,81.36668332330663
hsa-miR-219-5p,2,80.84430949110997
hsa-miR-129-5p,2,80.19567378678734
ENSG00000198624.8,0,79.87063347454936
hsa-miR-34c-5p,2,79.36868613813445
hsa-miR-100,2,78.22947740706104
ENSG00000084453.12,0,77.4173227784543
ENSG00000116786.7,0,77.29254362598613
ENSG00000011426.6,0,76.83113353386122
hsa-miR-125b,2,76.41843426214277
cg10157098,1,73.93194869587255
cg05050341,1,73.73770864649849
cg12845808,1,73.65339672540753
hsa-miR-146b-5p,2,73.50733816832681
ENSG00000166508.13,0,72.61662249666242
ENSG00000233123.1,0,72.4240240464023
cg16361890,1,72.09048833078127
ENSG00000105419.11,0,70.62223500433468
hsa-miR-664,2,70.4885363289804
hsa-miR-143,2,70.01085741109102
hsa-miR-146a,2,69.91606414931724
hsa-miR-520e,2,69.74278384561549
cg18220560,1,69.64074546028102
cg11136562,1,68.80766004795298
cg04983977,1,68.30835485422939
ENSG00000071054.10,0,68.30214344989088
cg22398616,1,68.07806552090709
cg24765079,1,67.78941306196407
ENSG00000227392.1,0,67.46875151533662
cg07232688,1,67.36882184062823
hsa-miR-563,2,67.16682660977045
hsa-miR-34a,2,67.12374290209799
cg04126866,1,66.9765747426752
cg18806980,1,66.92538862050023
ENSG00000233404.2,0,66.77384678933495
hsa-miR-767-5p,2,66.6149345134151
cg06690548,1,66.27918436527342
cg19485804,1,64.70742426549572
cg10978355,1,64.37615276902837
hsa-miR-1275,2,64.22200229129618
ENSG00000235823.1,0,63.932543621060155
ENSG00000197704.7,0,63.846564198402355
ENSG00000249436.1,0,63.19884765517578
hsa-miR-2114,2,62.48234246840432
cg08367223,1,61.987920249316275
cg20483374,1,61.88816375049715
cg14847483,1,61.87339339639743
cg17560332,1,61.69327431024754
cg03762535,1,61.64088303715447
hsa-miR-377,2,61.19640500701817
ENSG00000134294.9,0,60.60437024644716
cg09382492,1,60.399287724132364
cg05261299,1,60.173778458571256
cg18001427,1,59.71357866917295
cg00174500,1,59.41539585515092
ENSG00000196187.7,0,59.20960278008791
hsa-miR-142-5p,2,59.19234205331101
hsa-miR-129-3p,2,59.1121831657256
ENSG00000151552.7,0,58.62066670087973
hsa-miR-139-5p,2,58.388796533113066
ENSG00000125534.4,0,57.890064455829666
hsa-miR-452,2,57.88561349547163
ENSG00000125733.11,0,57.47708076613378
cg03894103,1,57.47194772243405
cg13468685,1,57.38150352922149
cg06736444,1,57.28869382872855
hsa-miR-95,2,57.040848255990646
hcmv-miR-UL70-3p,2,56.49003652009843
cg24192663,1,56.387948287184855
hsa-miR-140-3p,2,56.31582748461248
hsa-miR-432,2,55.8113747402659
cg15984661,1,55.68271253491102
cg01182697,1,54.37995215371005
cg20793071,1,54.08931538742729
ENSG00000142173.10,0,53.856822923397
ENSG00000168209.3,0,53.799962277025145
cg08952029,1,53.791642607826184
cg00754253,1,53.49789175928778
cg18149207,1,53.30861079300855
cg18119407,1,52.927002136439526
hsa-miR-185,2,52.04003827942119
ENSG00000187984.7,0,51.7322617538347
ENSG00000105655.11,0,51.081987118537356
cg21643191,1,51.07996360774547
cg10942056,1,50.842700405788776
cg25947945,1,50.775976273081945
ENSG00000143157.7,0,50.57824424793351
ENSG00000198830.6,0,50.55813082903964
cg11761535,1,50.4630072573875
ENSG00000119729.6,0,50.44722129514145
hsa-miR-485-3p,2,50.28878781617387
hsa-miR-1308,2,50.2529878535535
cg09656934,1,50.16585012833612
ENSG00000253210.1,0,49.929351536678254
ENSG00000254858.2,0,49.88091113775188
hsa-miR-539,2,48.61014427912163
ENSG00000164889.8,0,48.28574036338909
ENSG00000143772.5,0,48.226162462660405
cg21301148,1,48.04397156578489
cg16003238,1,47.84391668092238
hsa-miR-130b,2,47.79103005940284
ENSG00000166257.4,0,47.63594587394082
cg17237063,1,47.57729184984285
hsa-miR-660,2,47.44517919716089
ENSG00000236609.3,0,47.05458119419528
ENSG00000240907.1,0,46.9045466077455
hsa-miR-301a,2,46.79814111391731
hsa-miR-448,2,46.69080148582945
ENSG00000177025.2,0,46.585122940318136
hsa-miR-24,2,46.45182180816616
hsa-miR-595,2,46.272393182362784
ENSG00000125637.10,0,45.73629417035359
ENSG00000197256.6,0,45.717546722554395
cg15775914,1,45.49033639161493
cg08409225,1,45.4248942007097
hsa-miR-1283,2,45.39765868051815
hsa-miR-98,2,45.36444542445523
cg19358493,1,45.33655009113609
cg18676053,1,45.33153807585113
ENSG00000166863.7,0,44.97850273429995
ENSG00000037897.12,0,44.94562904308137
kshv-miR-K12-9,2,44.357612811756944
cg27016307,1,44.14294854474659
cg18636641,1,44.07832690384541
cg17886959,1,43.74680259996895
hsa-miR-148b,2,43.52394430648143
hsa-miR-92a,2,43.420793458500455
cg15626350,1,43.2849833651549
ENSG00000112851.10,0,43.17834142040899
cg15083233,1,42.95814081025691
ENSG00000119950.15,0,42.88833453988951
ENSG00000185499.11,0,42.43363331207905
ENSG00000111181.8,0,42.34078721389069
cg15789095,1,42.25692346954357
ENSG00000180777.9,0,42.24789444674033
ENSG00000256193.1,0,42.096956445903764
hsa-miR-603,2,42.07586633045231
cg12864235,1,41.73023619303553
ENSG00000196154.7,0,41.71821281085761
ENSG00000254239.1,0,41.70640292781147
hsa-miR-639,2,41.04705608476309
cg06637893,1,40.98006324624761
ENSG00000143409.11,0,40.97147022767898
ENSG00000182851.2,0,40.82571741844887
cg17253459,1,40.54130943443628
cg20692569,1,40.23829017672438
ENSG00000126803.8,0,40.15095032593556
cg02293044,1,40.14773846727402
ENSG00000183773.10,0,39.97658863853954
ENSG00000139352.3,0,39.46331085007333
ENSG00000154493.12,0,39.42189789368893
ENSG00000161896.6,0,39.36068078611883
ENSG00000010310.4,0,39.33742981798236
cg13044136,1,39.25038967290837
hsa-miR-374a,2,39.16589139927085
hsa-miR-1246,2,38.97179079337107
ENSG00000138207.7,0,38.95935646789903
cg06849477,1,38.87362371279595
hsa-miR-296-5p,2,38.74242562171679
ENSG00000126878.8,0,38.326453480954534
cg22472290,1,38.079024338560785
ENSG00000182902.8,0,38.00145337981249
hsa-miR-376a,2,37.91753884233759
cg25771195,1,37.915614214071056
ENSG00000170276.4,0,37.872333182160034
hsa-miR-145,2,37.842769633150226
cg15780361,1,37.825842530362856
hsa-miR-126,2,37.7536614833293
hsa-miR-34b,2,37.631508851142456
cg13236107,1,37.52901829906019
ENSG00000160285.9,0,37.4584611497955
ENSG00000248455.1,0,37.36935392808911
ENSG00000266903.1,0,37.30143823862085
hsa-let-7g,2,37.23177595025711
cg13795840,1,37.11452453695658
hsa-let-7i,2,37.00693908763757
cg27146152,1,36.96132543626413
ENSG00000165821.7,0,36.926470906133304
cg09705062,1,36.858305726632004
ENSG00000174607.6,0,36.85087913343443
hsa-miR-504,2,36.69882191841349
ENSG00000125878.4,0,36.55685375431745
ENSG00000165175.11,0,36.427058665726086
hsa-miR-885-5p,2,36.29871783770544
hsa-miR-30d,2,36.253465855283224
cg03258472,1,36.06717155150445
ENSG00000115758.8,0,36.064222678197154
cg07412254,1,35.99378464533962
ENSG00000051128.13,0,35.8620273435271
cg03870261,1,35.80173838503151
cg01169778,1,35.68062232019295
cg00727590,1,35.51294978394912
ENSG00000072864.8,0,35.39918602856176
ENSG00000233487.6,0,35.39281698554846
ENSG00000140479.12,0,35.375124810271586
hsa-miR-548a-3p,2,35.190097254592835
cg23674882,1,35.05942619475127
ENSG00000159176.9,0,35.037884877600916
ENSG00000090554.6,0,34.90907678531339
ENSG00000165458.8,0,34.785006457536596
hsa-miR-450b-5p,2,34.66549759327842
cg07546360,1,34.66539810492417
kshv-miR-K12-2,2,34.655733993684265
ENSG00000248714.2,0,34.61791115173247
ENSG00000145832.8,0,34.42419603817053
cg24178740,1,34.138201906850554
cg04428453,1,34.10215929366478
cg17233506,1,33.994395632388
ENSG00000106333.8,0,33.56568703647691
cg13547644,1,33.37388971066668
cg16869108,1,33.22998327359983
hsa-miR-135b,2,33.215410802173736
hsa-miR-219-2-3p,2,33.16196492468979
cg03400060,1,33.146175922266366
ENSG00000183963.13,0,33.12189181653786
cg24362726,1,32.584481530154186
cg16604516,1,32.57370033103493
ENSG00000132688.10,0,32.36983078211113
hsa-miR-221,2,32.33724075927206
cg16541031,1,32.31905225875638
ENSG00000100906.6,0,32.17558356900953
hsa-miR-361-5p,2,32.08617617356511
